Judul,Penulis,Tahun
ulasan pelanggan naïve bayes classifier plus coffee and space,"Dani Adrian Firmansah, Nanang Yudi Setiawan, Dian Eka Ratnawati",10 Jan 2025
autocontrast yolovn deteksi permukaan jalan kondisi pencahayaan beragam kursi roda pintar,"Farel Ahmad Andika, Fitri  Utaminingrum",10 Jan 2025
kualitas website elearning universitas islam bandung ekuliah metode webqual importance performance analysis ipa,"Syahda Rani Salsabila, Satrio Hadi Wijoyo, Dwi Cahya Astriya Nugraha",10 Jan 2025
penerapan information architecture berdasarkan mental model pengguna aplikasi situbondo ojek kurir meningkatkan usability,"Rifda Fitri Eka Windianti, Herman Tolle, Lutfi Fanani",10 Jan 2025
wearable deteksi postur lockout mixedgrip deadlift metode random forest berbasis data mpu,"Talitha Dwi Arini, Dahnial Syauqy, Wijaya Kurniawan",10 Jan 2025
cedera gerakan kepala individu pemula imt obesitas topi olahraga berbasis data sensor mpu metode random forest,"Satria Wahyudi Utomo, Dahnial Syauqy, Nur Hazbiy Shaffan",10 Jan 2025
penggunaan chatgpt pembelajaran model problem based learning hasil belajar siswa sekolah menengah kejuruan,"Kindi Aisyah, Uun  Hariyanti, Aswin  Suharsono",10 Jan 2025
kemampuan abstraksi siswa mata pelajaran pemrograman web penguatan pengalaman pemecahan,"Ni'mah Magfiroh, Admaja Dwi Herlambang, Prima Zulvarina",10 Jan 2025
implementasi problembased learning berbantuan github chatgpt hasil belajar kemampuan kolaborasi,"Resty Cahyani Pradita, Admaja Dwi Herlambang, Tri  Afirianto",10 Jan 2025
perbandingan efisiensi layanan bpjs pendaftaran informasi ketersediaan tidur mobile jkn whatsapp kota malang,"Aura Salsabila  Achya, Aryo Pinandito, Aditya Rachmadi",10 Jan 2025
knearest neighbors sistem deteksi kelelahan otot pengemudi berbasis shimmer electromyography sensor,"Muhammad Bahrul 'Ulum, Edita Rosana Widasari",10 Jan 2025
perbandingan server side client side data fetching framework nextjs studi aplikasi online course,"Putu Gde Arya Bhanuartha, Aryo Pinandito, Muhammad Aminul Akbar",10 Jan 2025
kualitas layanan website kepuasan pengguna metode webqual importance performance analysis ipa studi departemen teknik elektro informatika universitas negeri malang,"Aghnia Azka Privanna, Satrio Hadi Wijoyo , Dwi Cahya Astriya Nugraha",10 Jan 2025
klasifikasi tunggu kerja lulusan support vector machine data tracer study studi lulusan fakultas ilmu komputer universitas brawijaya,"zubaidah diniyah, Nanang Yudi  Setiawan, Dian Eka Ratnawati",10 Jan 2025
implementasi problembased learning berbantuan chatgpt github hasil belajar kemampuan pemecahan,"Salvia Dyah Kurniasari, Admaja Dwi Herlambang, Satrio Hadi Wijoyo",10 Jan 2025
pelayanan publik kampung kayutangan heritage berdasarkan analisis sentimen root cause analysis rca,"Tikta Adristi, Nanang Yudi Setiawan, Satrio Hadi Wijoyo",10 Jan 2025
implementasi problembased learning berbantuan github chatgpt hasil belajar kemampuan logika pemrograman,"Gabriella Fadhilatus Awanda, Admaja Dwi Herlambang, Aditya Rachmadi",10 Jan 2025
circular hough transform deteksi sel darah citra mikroskopik berbasis smartphone,"Jordan Xavier Rahmadhany, Barlian Henryranu Prasetio",10 Jan 2025
pelatihan fishbone flipped classroom meningkatkan kinerja adaptasi karyawan pt kurnia ciptamoda gemilang,"Desifa Permatasari, Uun  Hariyanti, Hanifah Muslimah Az-Zahra",10 Jan 2025
prediktif harga saham simple moving average metode long shortterm memory,"Alifah Khairunnisa, Lailil Muflikhah, Budi Darma Setiawan",10 Jan 2025
pergerakan arah kepala minim pencahayaan clahe yolovn kursi roda pintar,"Reza Putra, Fitri Utaminingrum",10 Jan 2025
kualitas website smp negeri malang metode webqual importance performance analysis ipa,"Ayunizar Fata Ardelia, Satrio Hadi Wijoyo, Dwi Cahya Astriya Nugraha",10 Jan 2025
sistem wearable deteksi postur duduk miring berbasis data sensor mpu metode support vector machine,"Nadaa Shafa Nadhifa, Dahnial  Syauqy, Edita Rosana Widasari",10 Jan 2025
monitoring laju pernapasan olahraga yoga berdasarkan sinyal elektrokardiogram berbasis shimmer,"Azza Annathifa, Edita Rosana Widasari",10 Jan 2025
penerapan prinsip consistency zebra stripes peningkatan clickable element meningkatkan user experience website siam ub,"Abdul Haris Halim, Agi Putra  Kharisma, Mahardeka Tri  Ananta",10 Jan 2025
ekstraksi gammatonefrequency cepstral coefficient klasifikasi hidden markov model identifikasi emosi suara jantung,"Dimas Resha Putra Pamungkas, Barlian Henryranu Prasetio",10 Jan 2025
pemodelan proses bisnis proses pengiriman barang divisi operasional pt mitra international tbk,"Najwa Huwaidah, Buce Trias Hanggara, Dwi Cahya Astriya  Nugraha",10 Jan 2025
collaborative mindmapping lingkungan pembelajaran berbasis spherical videobased virtual reality svvr twotier feedback siswa smk negeri batu,"Muhammad Hilmi Adzkia, Uun Hariyanti, Admaja Dwi Herlambang",10 Jan 2025
komparatif kinerja library websocket bahasa pemrograman go,"Bagas Hizbullah, Djoko Pramono, Aryo Pinandito",10 Jan 2025
implementasi problembased learning variasi skenario screen time hasil minat belajar,"Kumara Sahasika  Laksmana, Admaja Dwi  Herlambang, Uun Hariyanti",10 Jan 2025
kecerdasan logis matematis hasil belajar siswa smk mata pelajaran pemrograman dasar,"Dian Nurita Hasanah, Admaja Dwi Herlambang, Tri Afirianto",15 Jan 2025
pembentukan kelompok heterogen kelompok homogen model problem based learning hasil belajar motivasi berprestasi siswa sman malang,"Nabila Zaein, Satrio Hadi Wijoyo, Uun Hariyanti",15 Jan 2025
pintu cerdas berbasis pengenalan wajah kartu identitas yolov optical character recognition ocr,"Anugrah Ilhami Rizki, Rekyan  Regasari Mardi Putri, Nur Hazbiy Shaffan",15 Jan 2025
pengaruh kemudahan penggunaan kenyamanan kebiasaan niat keberlanjutan layanan quick response code indonesian standard qris kota malang,"Audrey Farrah Rahmaniar, Aryo Pinandito, Aditya  Rachmadi",15 Jan 2025
perbaikan desain antarmuka pengguna website masjid raden patah universitas brawijaya heuristic evaluation web usability evaluation tool webuse,"Aurhiel Chatlea Sabrine, Hanifah Muslimah Az-Zahra, Almira Syawli",15 Jan 2025
faktorfaktor internal eksternal keputusan peserta didik rumpun ti smkn malang,"Imam Suprayogo, Wibisono Sukmo  Wardhono, Prima Zulvarina",15 Jan 2025
sentimen ulasan pengguna google maps metode longshort term memory studi rumah sakit gatoel,"Faiz Yahya, Dian Eka Ratnawati, Bayu Rahayudi",15 Jan 2025
mutasi kanker paru citra ctscan pretrained cnnvgg,"Rafifa Addin Sahirah, Lailil Muflikhah, Budi Darma  Setiawan",15 Jan 2025
usability antarmuka pengguna aplikasi mobile eopen disdukcapil kota bekasi metode usability testing heuristic evaluation,"Okta Vaherdi, Hanifah Muslimah Az-Zahra, Almira Syawli",15 Jan 2025
metode moscow menetapkan prioritas kebutuhan sistem smpn kedawung,"Alvita Risqi Zuhairunisa, Hanifah Muslimah Az-Zahra, Almira Syawli",15 Jan 2025
algoritma xception sistem deteksi katarak raspberry pi berbasis citra mata,"Aryani Wulandari, Rekyan Regasari Mardi Putri, Agung Setia Budi",15 Jan 2025
interaksi sistem manajemen akun sistem informasi universitas brawijaya kerangka goaldirected design,"Fatih Meru Samudra, Ismiarta Aknuranda",15 Jan 2025
perbandingan efisiensi metode trigger timestamp logbased implementasi change data capture cdc database postgresql mysql,"Rafli Ardiansyah, Aryo",15 Jan 2025
jaringan permissioned blockchain sistem evoting pemilwa menjamin autentikasi pemilih integritas data,"Joshua Felix Potalangi, Dany  Primanita Kartikasari, Nur Hazbiy Shaffan",15 Jan 2025
perbaikan tampilan antarmuka aplikasi malang cilin digital access berdasarkan hasil evaluasi usability meningkatkan pengalaman pengguna,"Sukma Arini, Eko Sakti Pramukantoro, Bayu Priyambadha",15 Jan 2025
faktorfaktor berpengaruh kepuasan pengguna aplikasi livin by mandiri metode eucs studi mahasiswa dki jakarta,"Reynaldi Holtrop, Satrio Hadi Wijoyo, Dwi Cahya Astriya Nugraha",15 Jan 2025
pembentukan computational thinking peserta didik berbasis problembased learning berbantuan github chatgpt pemrograman web,"Andhini Widyasari Putri, Admaja  Dwi Herlambang, Prima Zulvarina",15 Jan 2025
mutasi epidermal growth factor receptor kanker paru extreme gradient boosting,"Amira Ghina Nurfansepta, Lailil Muflikhah, Budi Darma Setiawan",15 Jan 2025
mobilevits deteksi permukaan jalan berbasis jetson nano kursi roda pintar,"Itsar Irsyada Surga, Fitri Utaminingrum",15 Jan 2025
fitur autobattle retensi pemain game mobile rpg anime studi komunitas arknights blue archive,"Muhammad Nuril Haq, Bayu Rahayudi, Achmad Ridok",15 Jan 2025
user experience aplikasi manajemen pendaftaran pasien berbasis mobile rumah sakit bersalin restu padang metode design thinking,"Naufal Dzaky, Herman Tolle, Dwi Cahya Astriya Nugraha",15 Jan 2025
sistem rumah pintar berbasis pengenalan suara keyword spotting convolutional neural network,"Takeru Iwasawa, Barlian Henryranu Prasetio",15 Jan 2025
sistem informasi manajemen pekerjaan barang proyek pemeliharaan industri berbasis web studi pt karunia utama maju,"Hosea Goldstein Mangunsong, Tri Astoto Kurniawan",15 Jan 2025
antarmuka pengguna aplikasi deteksi tingkat pencemaran perairan sungai berbasis famili makroinvertebrata mengadaptasi humancentered design hcd,"Marsa Fatin Halimah, Hanifah Muslimah Az-Zahra, Alfi Nur Rusydi",15 Jan 2025
sentimen pengguna aplikasi mobile berbasis review platform blibli metode bidirectional encoder representations from transformers bert,"Rafli Rahman, Nanang Setiawan, Fitra Bachtiar",15 Jan 2025
perilaku pengguna kemudahan transaksi finansial gaya hidup mahasiswa aplikasi livin by mandiri pendekatan diary study,"Rifqi Rizqullah Kurniawan, Hanifah Muslimah  Az-Zahra, Aryo  Pinandito",15 Jan 2025
monitoring emina sun battle spf pa sociolla berdasarkan hasil analisis sentimen,"Nazwa Anandia, Welly Purnomo, Nanang Yudi Setiawan",15 Jan 2025
penyakit alzheimer citra mri pretrained vgg pengolahan citra clahe,"Naufal Putra Sutrisna, Lailil Muflikhah, Budi Darma Setiawan",15 Jan 2025
strengths weaknesses opportunities and threats layanan bakso kota cak man berdasarkan hasil pengelompokkan ulasan pelanggan,"Ananda Diamanta, Nanang Yudi Setiawan, Bayu Rahayudi",15 Jan 2025
informasi perpustakaan berbasis web smk negeri wonosari malang,"Muhammad Fadhil Ramadhani Alfath, Welly Purnomo, Fajar Pradana",15 Jan 2025
sistem manajemen data perencanaan karir mahasiswa career apps dashboard studi direktorat pengembangan karier alumni universitas brawijaya,"Muhammad Fadli Hasan, Adam Hendra Brata, Bayu Priyambadha",15 Jan 2025
usability aplikasi soulmath metode usability testing,"Yakhya Nahnul Saputro, ha Muslimah Az-Zahra, Tri Afirianto",15 Jan 2025
model kooperatif teams games tournament hasil belajar peserta didik platform gamifikasi mata pelajaran informatika smk yapalis krian,"Nurma Cici Wulandari, Admaja Dwi Herlambang, Tri Afirianto",15 Jan 2025
wearable deteksi postur badan latihan deadlift sensor mpu metode support vector machine svm,"Alif Akbar Grafidi, Dahnial Syauqy, Wijaya Kurniawan",15 Jan 2025
sentimen ulasan aplikasi ajaib kripto indobert metode root cause analysis,"Akbar Lucky Basuki, Bayu Rahayudi, Djoko Pramono",15 Jan 2025
service design website pemesanan catering pawon mendut metode tisdd framework,"Azura Fairuz Bariq, Herman Tolle, Dwi Cahya Astriya Nugraha",15 Jan 2025
sel darah putih berdasarkan citra mikroskopis metode template matching berbasis smartphone,"Denis Wahyu Rizqullah, Barlian  Henryranu Prasetio",15 Jan 2025
aplikasi gapura ub pendekatan human centered design studi peningkatan user experience usability,"Moch. Rifky Misbachudin, Lutfi Fanani, Mahardeka  Tri Ananta",15 Jan 2025
tata kelola teknologi informasi framework cobit domain bai studi cv integrasi,"Farhan Zaki Putra, Aditya Rachmadi, Andi Reza Perdanakusuma",15 Jan 2025
pengalaman pengguna aplikasi sirekap mobile metode enhanced cognitive walktrough studi kantor kpu kabupaten pamekasan,"Windaliani Wahyudin,  Ismiarta Aknuranda,  Alfi Nur  Rusydi",15 Jan 2025
kanker kulit jinak ganas metode xception berbasis raspberry pi,"Regina Kembar Duanti, Rekyan  Regasari Mardi Putri, Eko  Setiawan",15 Jan 2025
implementasi flipped classroom selfregulated learning hasil belajar mata pelajaran web content,"Failashofi Nabila, Admaja Dwi Herlambang, Uun Hariyanti",15 Jan 2025
sistem pendukung keputusan perbaikan kinerja guru metode weighted product berbasis web studi smkn jakarta,"Muhammad Perwira, Satrio Hadi Wijoyo, Satrio Agung Wicaksono",15 Jan 2025
pengaruh program clash of champions minat memilih bimbingan belajar ruangguru,"Joanica Gifta Devanya Putri, Aryo Pinandito, Dwi Cahya Astriya Nugraha",15 Jan 2025
user experience aplikasi viota beauty bar metode design thinking,"Mohammad Ghaza Al Ridho, Herman  Tolle, Dwi Cahya Astriya Nugraha",15 Jan 2025
sistem deteksi lubang jalan algoritma yolo berbasis espcam,"Ekmaldzaki Royhan Mahar Beta Adi Sucipto, Rekyan Regasari Mardi Putri, Budi Darma Setiawan",15 Jan 2025
media pembelajaran booklet mata pelajaran informatika materi algoritma bahasa pemrograman prosedural,"Khanif Rosida, Satrio Hadi  Wijoyo, Wibisono Sukmo  Wardhono",15 Jan 2025
perbandingan performa networking library retrofit volley pengambilan data rest api,"Mohammad Herdian Bayu Pratama, Buce Trias Hanggara, Widhy Hayuhardhika Nugraha Putra",15 Jan 2025
user experience sistem informasi daerah penangkapan ikan metode humancentered design hcd,"Nur Izzah Maula Ramadhani, Hanifah Muslimah Az-Zahra, Almira  Syawli",15 Jan 2025
harga saham frenjk pt smartfren telecom tbk algoritma long short term memory,"Nathania Maerella Arungla'bi' Tambing, Satrio Hadi Wijoyo, Nanang Yudi Setiawan",15 Jan 2025
metode knearest neighbor deteksi stres berbasis neruosky electroencephalogram sensor,"Yohanes Ronaldo Juliantino Hutagaol, Edita Rosana Widasari",20 Jan 2025
permasalahan pembelajaran terkait aksesibilitas learning management system brone brawijaya online learning berdasarkan wcag web content accessibility guidelines mahasiswa disabilitas netra,"Andhika Satria, Hanifah Muslimah Az-Zahra, Tri Afirianto",20 Jan 2025
penjualan bobby aquatic kmeans clustering holtwinters pendekatan crispdm,"Levina Shaharani Prabowo, Nanang Yudi Setyawan, Welly Purnomo",20 Jan 2025
peserta didik penggunaan pc building simulator media pembelajaran proses pembelajaran materi perakitan komputer,"Alfian Darmawan, Wibisono Sukmo Wardhono, Admaja Dwi Herlambang",20 Jan 2025
aplikasi manajemen pelanggan divisi sales berbasis mobile integrasi layanan google maps studi dasarata branch malang,"Aulia Heppy Cahya Sudjianto, Issa Arwani, Muhammad Aminul Akbar",20 Jan 2025
plat nomor kendaraan indonesia convolutional neural network bilstm,"Wahyu Valentino Marasitua, Novanto Yudistira, Muhammad Arif  Rahman",20 Jan 2025
sistem informasi penerimaan siswa sekolah khusus yayasan karya dharma wanita khusus tuli skh ykdw kota tangerang,"Muhammad Alwi, Riswan  Septriyati Sianturi",20 Jan 2025
pengalaman pengguna aplikasi jasa haji umrah berbasis website metode design thinking studi pt global tour travel,"TSABITA MUTHIA AYU PRAMESTI, HERMAN TOLLE, BAYU  PRIYAMBADHA",20 Jan 2025
tingkat resiko kanker serviks wanita usia subur metode modified knearest neighbor,"Dillah Lyra Mukhrodi,  Lailil  Muflikhah, Diva Kurnianingtyas",20 Jan 2025
kepuasan pengguna im aplikasi myim metode end user computing satisfaction eucs termodifikasi,"Cahya Sari, Aditya  Rachmadi, Admaja  Dwi Herlambang",20 Jan 2025
pengaruh automated customer service berbasis artificial intelligence aplikasi ecommerce studi aplikasi lazada,"Mitha Diah Rosanti, Satrio Hadi Wijoyo, Aditya Rachmadi",20 Jan 2025
faktor memengaruhi penggunaan cryptocurrency unified theory of acceptance and use of technology utaut termodifikasi studi generasi z dki jakarta,"Putri Nabilah Hanun, Satrio Hadi Wijoyo, Aditya Rachmadi",20 Jan 2025
perbaikan desain antarmuka pengguna website smp negeri maron metode website usability evaluation tool webuse human centered design hcd,"Desi Fitriyyah, Hanifah Muslimah Az-Zahra, Tri Afirianto",20 Jan 2025
perbandingan simpan database gambar blob konversi base website sosial media,M Alfi Syahri Ramadhan,20 Jan 2025
metode problembased learning berbantuan github chatgpt hasil belajar computational thinking skill siswa,"Tuffahati Sholihah, Admaja Dwi Herlambang, Satrio Hadi Wijoyo",20 Jan 2025
media pembelajaran berbasis augmented reality pengenalan topologi jaringan,Muhammad Afton Ilman Huda,20 Jan 2025
penjualan makanan restororan metode arima studi waroeng marisukakoi,"radityo Hamas, Nanang Yudi Setiawan, Dian Eka Ratnawati",20 Jan 2025
proses bisnis penjualan produk pusat penelitian perkebunan gula indonesia business process improvement bpi,"Wildan Aulia Mu'tashim, Herman Tolle",20 Jan 2025
sistem deteksi jenis sel darah putih algoritma shape context berbasis smartphone,"Ridwan Aji Nugraha, Barlian  Henryranu Prasetio",20 Jan 2025
peningkatan sdm berdasarkan pengelompokan kualitas kinerja pegawai cv mediatama perkasa bogor kmeans clustering,"Nathalia Clarissa Anggraini Suhartanto, Satrio Hadi Wijoyo, Welly Purnomo",20 Jan 2025
sistem informasi robot brone project berbasis web php,"Milenium Putri Dion, Tibyani, Welly  Purnomo",20 Jan 2025
usability sistem informasi kearsipan dinamis terintegrasi srikandi versi politeknik kesehatan kemenkes malang,"Leli Purwanti, Ismiarta  Aknuranda, Alfi Nur Rusydi",20 Jan 2025
